Price,Age_08_04,KM,HP,cc,Doors,Gears,Quarterly_Tax,Weight,,Price,Pred,error,,,
13950,22,49059,97,1400,3,5,85,1100,,13950,21044.2182,-7094.218195,-2094.218195,,
16750,27,44068,97,1400,3,5,85,1100,,16750,20540.22046,-3790.220458,1209.779542,,
13950,22,46961,97,1400,3,5,85,1100,,13950,21088.14612,-7138.146119,-2138.146119,,
16950,27,110404,90,2000,5,5,234,1255,,16950,22081.21423,-5131.214225,-131.214225,,
16950,22,100250,90,2000,5,5,234,1255,,16950,22902.31797,-5952.317972,-952.317972,,
19000,23,84000,90,2000,5,5,234,1270,,19000,23371.73726,-4371.737263,628.262737,,
17950,27,79375,90,2000,5,5,234,1255,,17950,22730.89943,-4780.899427,219.100573,,
15800,22,75048,97,1400,5,5,85,1110,,15800,20667.31161,-4867.311613,132.688387,,
17950,22,72215,90,2000,5,5,234,1255,,17950,23489.3148,-5539.314802,-539.314802,,
21950,31,64982,192,1800,5,6,100,1195,,21950,24835.48604,-2885.486041,2114.513959,,
17950,22,62636,90,2000,5,5,234,1255,,17950,23689.8799,-5739.879904,-739.879904,,
15750,30,57086,97,1400,5,5,85,1110,,15750,20069.8011,-4319.801097,680.198903,,
20500,26,56000,110,1600,5,5,100,1180,,20500,22213.4035,-1713.403496,3286.596504,,
21950,27,49866,192,1800,5,5,100,1195,,21950,25039.81896,-3089.818959,1910.181041,,
15500,25,49163,110,1600,5,5,100,1165,,15500,22227.37981,-6727.379811,-1727.379811,,
13250,32,45725,110,1600,5,5,85,1075,,13250,19886.14872,-6636.148717,-1636.148717,,
15250,28,43210,97,1400,5,5,85,1110,,15250,20603.7365,-5353.736503,-353.736503,,
15250,26,43000,97,1400,5,5,85,1110,,15250,20851.5332,-5601.533201,-601.533201,,
18950,23,39704,110,1600,5,5,100,1180,,18950,22919.70872,-3969.708721,1030.291279,,
15999,30,38950,110,1600,5,5,85,1130,,15999,21191.28444,-5192.284435,-192.284435,,
14950,22,37400,97,1400,5,5,85,1110,,14950,21455.58544,-6505.585437,-1505.585437,,
16500,27,37177,110,1600,5,5,85,1130,,16500,21593.50709,-5093.507086,-93.507086,,
18750,31,36544,110,1600,5,5,85,1130,,18750,21119.9614,-2369.961404,2630.038596,,
17950,30,33511,110,1600,5,5,85,1130,,17950,21305.16622,-3355.166217,1644.833783,,
17950,27,32809,97,1400,5,5,85,1110,,17950,20943.2125,-2993.2125,2006.7875,,
16950,26,32181,110,1600,5,5,19,1075,,16950,20653.28123,-3703.281233,1296.718767,,
18950,28,30993,110,1600,5,5,85,1130,,18950,21601.28782,-2651.287819,2348.712181,,
14950,22,30400,97,1400,5,5,85,1110,,14950,21602.15144,-6652.151437,-1652.151437,,
22250,22,30000,110,2000,5,5,234,1275,,22250,25334.25247,-3084.252472,1915.747528,,
15950,25,29719,97,1400,5,5,85,1110,,15950,21251.31064,-5301.310638,-301.310638,,
15950,28,29206,97,1400,5,5,85,1110,,15950,20896.95226,-4946.952255,53.047745,,
12995,32,29198,97,1400,5,5,85,1060,,12995,19574.06482,-6579.064823,-1579.064823,,
18950,28,28817,110,1598,5,5,85,1130,,18950,21646.84891,-2696.848907,2303.151093,,
15750,23,28227,97,1400,5,5,85,1110,,15750,21525.94985,-5775.949852,-775.949852,,
19950,28,28000,110,1600,5,5,85,1130,,19950,21663.95525,-1713.955253,3286.044747,,
16950,23,28000,110,1600,5,5,85,1115,,16950,22021.5779,-5071.577898,-71.577898,,
18750,31,25266,110,1600,5,5,85,1130,,18750,21356.10017,-2606.100168,2393.899832,,
18450,27,23489,110,1600,5,5,85,1115,,18450,21629.22978,-3179.22978,1820.77022,,
16895,29,22575,110,1600,5,5,85,1115,,16895,21404.96739,-4509.967394,490.032606,,
14900,30,22000,97,1400,5,5,85,1110,,14900,20804.43177,-5904.431765,-904.431765,,
18950,25,20019,110,16000,5,5,100,1180,,18950,23088.47353,-4138.473533,861.526467,,
17250,29,20000,110,1600,5,5,85,1115,,17250,21458.88274,-4208.882744,791.117256,,
15450,25,17003,97,1400,5,5,85,1110,,15450,21517.55825,-6067.558246,-1067.558246,,
17950,31,16238,110,1600,5,5,100,1180,,17950,22437.44096,-4487.440957,512.559043,,
16650,25,15414,97,1400,5,5,85,1110,,16650,21550.82873,-4900.828728,99.171272,,
17450,28,8537,110,1600,5,5,85,1130,,17450,22071.47155,-4621.471547,378.528453,,
14900,30,7000,97,1400,5,5,85,1100,,14900,20951.25067,-6051.250665,-1051.250665,,
17950,20,66966,90,2000,3,5,210,1245,,17950,23585.67574,-5635.675742,-635.675742,,
15950,19,51884,97,1400,3,5,85,1100,,15950,21350.16792,-5400.167922,-400.167922,,
21950,19,50005,110,2000,3,5,234,1265,,21950,25113.23626,-3163.236259,1836.763741,,
16450,20,48110,97,1400,3,5,85,1100,,16450,21307.48808,-4857.488075,142.511925,,
22250,20,37500,90,2000,3,5,234,1260,,22250,24543.20274,-2293.20274,2706.79726,,
19950,16,34472,90,1995,3,5,234,1260,,19950,25093.40244,-5143.40244,-143.40244,,
15950,20,33329,97,1400,3,5,85,1100,,15950,21616.97265,-5666.972653,-666.972653,,
18900,20,31850,110,1600,3,5,85,1120,,18900,22389.69173,-3489.691725,1510.308275,,
19950,17,30351,90,1995,3,5,234,1260,,19950,25057.98808,-5107.988079,-107.988079,,
15950,19,29435,97,1400,3,5,85,1100,,15950,21820.20508,-5870.205084,-870.205084,,
15950,19,25948,97,1400,3,5,85,1100,,15950,21893.21589,-5943.21589,-943.21589,,
18750,11,24500,110,1600,3,5,85,1120,,18750,23638.88476,-4888.884756,111.115244,,
17450,18,23902,97,1400,3,5,85,1100,,17450,22057.7549,-4607.754897,392.245103,,
18990,20,23175,110,1600,3,5,85,1120,,18990,22571.32888,-3581.328875,1418.671125,,
16250,19,19200,97,1400,3,5,85,1100,,16250,22034.50551,-5784.505514,-784.505514,,
18500,13,18000,71,1400,3,5,85,1125,,18500,22393.45888,-3893.458878,1106.541122,,
18500,11,16123,110,1600,3,5,85,1105,,18500,23563.40573,-5063.405732,-63.405732,,
19450,11,14635,110,1600,3,5,100,1155,,19450,24486.874,-5036.874001,-36.874001,,
16950,19,13748,97,1400,3,5,85,1100,,16950,22148.65949,-5198.65949,-198.65949,,
18800,14,11500,110,1600,3,5,69,1045,,18800,22231.80177,-3431.801769,1568.198231,,
17450,17,10000,97,1400,3,5,85,1100,,17450,22470.53483,-5020.534832,-20.534832,,
17950,20,7187,110,1600,3,5,85,1105,,17950,22655.20897,-4705.208969,294.791031,,
32500,4,1,116,2000,5,5,283,1480,,32500,31952.6975,547.302499,5547.302499,,
31000,4,4000,116,2000,5,5,283,1480,,31000,31868.96644,-868.966439,4131.033561,,
31275,4,1500,116,2000,5,5,283,1480,,31275,31921.31144,-646.311439,4353.688561,,
24950,8,13253,116,2000,5,5,234,1320,,24950,28329.29047,-3379.290474,1620.709526,,
24950,8,13253,116,2000,5,5,234,1320,,24950,28329.29047,-3379.290474,1620.709526,,
22950,7,10000,116,2000,5,5,234,1270,,22950,27682.84615,-4732.846147,267.153853,,
24990,8,6000,90,2000,5,5,234,1280,,24990,26997.65025,-2007.650248,2992.349752,,
21950,8,10841,90,2000,5,5,234,1270,,21950,26729.03829,-4779.03829,220.96171,,
17900,7,1,110,1600,3,5,85,1105,,17900,24387.7676,-6487.767604,-1487.767604,,
19250,20,63000,90,2000,5,5,234,1255,,19250,23925.65819,-4675.65819,324.34181,,
22250,17,57313,110,2000,5,5,234,1275,,22250,25370.87217,-3120.872173,1879.127827,,
18950,13,57037,110,1600,5,5,85,1115,,18950,22630.59978,-3680.599782,1319.400218,,
19950,19,51099,90,2000,5,5,234,1255,,19950,24296.54119,-4346.541187,653.458813,,
16350,14,40010,110,1600,5,5,85,1115,,16350,22865.41125,-6515.411249,-1515.411249,,
18950,20,39115,110,1600,5,5,85,1130,,18950,22404.82826,-3454.828255,1545.171745,,
16950,17,36012,110,1600,5,5,85,1130,,16950,22834.89845,-5884.898446,-884.898446,,
21750,16,36000,110,1600,5,5,85,1130,,21750,22956.84956,-1206.849561,3793.150439,,
15950,20,36000,110,1600,5,5,19,1075,,15950,21303.51817,-5353.518165,-353.518165,,
16500,20,35000,97,1400,5,5,85,1110,,16500,21749.23636,-5249.236355,-249.236355,,
17950,17,33740,97,1400,5,5,85,1135,,17950,22558.84556,-4608.845562,391.154438,,
15850,13,33477,110,1600,5,5,19,1075,,15850,22208.24375,-6358.243752,-1358.243752,,
16250,20,32627,97,1400,5,5,85,1110,,16250,21798.92223,-5548.922229,-548.922229,,
15950,20,29797,97,1400,5,5,85,1110,,15950,21858.17677,-5908.176769,-908.176769,,
16250,19,29441,97,1400,5,5,85,1110,,16250,21987.33056,-5737.330556,-737.330556,,
15950,13,29371,110,1600,4,5,19,1105,,15950,22795.96848,-6845.96848,-1845.96848,,
16500,20,29000,97,1400,5,5,85,1110,,16500,21874.86436,-5374.864355,-374.864355,,
16500,19,27821,97,1400,5,5,85,1110,,16500,22021.25012,-5521.250116,-521.250116,,
18450,19,27371,97,1400,5,5,85,1135,,18450,22448.79997,-3998.799966,1001.200034,,
16250,13,25170,110,1600,5,5,19,1105,,16250,22883.92902,-6633.929018,-1633.929018,,
23000,11,25000,116,2000,5,5,64,1320,,23000,27082.91926,-4082.919261,917.080739,,
19900,20,23000,110,1600,5,5,85,1130,,19900,22742.24413,-2842.244125,2157.755875,,
16450,20,22588,97,1400,5,5,85,1110,,16450,22009.11881,-5559.118811,-559.118811,,
23950,19,21684,192,1800,5,5,19,1185,,23950,26133.53351,-2183.533512,2816.466488,,
19950,13,21428,110,1600,5,5,85,1130,,19950,23627.05767,-3677.057674,1322.942326,,
18500,16,20629,110,1600,4,5,85,1090,,18500,22609.68316,-4109.683159,890.316841,,
18950,15,20270,110,1600,5,5,85,1130,,18950,23407.90416,-4457.90416,542.09584,,
16450,16,20105,97,1400,5,5,85,1110,,16450,22547.9073,-6097.907301,-1097.907301,,
20500,20,20000,110,1600,5,5,100,1165,,20500,23446.494,-2946.494,2053.506,,
24500,13,19988,110,1600,5,5,85,1130,,24500,23657.20839,842.791606,5842.791606,,
19450,19,18328,110,1600,5,5,85,1130,,19450,22961.76632,-3511.76632,1488.23368,,
20950,14,17896,110,1600,4,5,85,1150,,20950,23913.81303,-2963.813031,2036.186969,,
17200,20,17300,97,1400,5,5,85,1110,,17200,22119.83896,-4919.838955,80.161045,,
19950,19,17038,110,1600,5,5,85,1130,,19950,22988.77634,-3038.77634,1961.22366,,
18450,10,13747,97,1400,5,5,85,1110,,18450,23411.23026,-4961.230259,38.769741,,
19500,12,13634,110,1600,5,5,85,1115,,19500,23661.07166,-4161.071655,838.928345,,
21750,13,13178,110,1600,5,5,85,1130,,21750,23799.79617,-2049.796174,2950.203826,,
16868,15,13157,97,1400,4,5,85,1085,,16868,22396.95663,-5528.956634,-528.956634,,
19500,16,13000,110,1600,4,5,85,1105,,19500,23020.29581,-3520.295811,1479.704189,,
18900,11,12500,110,1600,5,5,85,1115,,18900,23806.51521,-4906.515206,93.484794,,
19750,17,11999,110,1600,5,5,85,1130,,19750,23337.68264,-3587.68264,1412.31736,,
19750,16,11754,110,1600,5,5,100,1180,,19750,24356.82483,-4606.824834,393.175166,,
18950,16,11000,110,1600,4,5,85,1105,,18950,23062.17181,-4112.171811,887.828189,,
20750,17,10000,110,1598,5,5,85,1105,,20750,22961.40995,-2211.409952,2788.590048,,
19600,9,7650,110,1600,5,5,85,1115,,19600,24151.46422,-4551.464224,448.535776,,
19500,14,6500,110,1600,4,5,85,1100,,19500,23316.16698,-3816.166979,1183.833021,,
17650,11,6155,97,1400,5,5,85,1110,,17650,23448.4917,-5798.491696,-798.491696,,
19950,14,6000,110,1600,5,5,85,1130,,19950,23828.38928,-3878.389279,1121.610721,,
19950,14,5459,110,1600,5,5,85,1130,,19950,23839.71674,-3889.716737,1110.283263,,
20950,14,5278,110,1600,4,5,85,1150,,20950,24178.00872,-3228.008715,1771.991285,,
20500,12,5000,110,1600,5,5,85,1130,,20500,24092.727,-3592.726997,1407.273003,,
17795,9,1,98,1400,4,5,19,1065,,17795,22852.7899,-5057.789896,-57.789896,,
18245,9,1,110,1600,5,5,19,1075,,18245,23395.96368,-5150.963676,-150.963676,,
23750,8,11000,110,1600,5,5,85,1130,,23750,24453.89843,-703.898433,4296.101567,,
19500,8,10077,97,1400,5,5,85,1110,,19500,23731.47244,-4231.472437,768.527563,,
18950,8,10000,97,1400,5,5,85,1110,,18950,23733.08466,-4783.084663,216.915337,,
21950,8,9788,110,1600,5,5,85,1130,,21950,24479.27529,-2529.275289,2470.724711,,
19950,8,8574,110,1600,5,5,85,1130,,19950,24504.69402,-4554.694021,445.305979,,
18950,8,7000,110,1600,5,5,85,1115,,18950,24286.77378,-5336.773783,-336.773783,,
19950,7,6250,110,1600,5,5,85,1115,,19950,24424.17714,-4474.177142,525.822858,,
21950,8,5000,110,1600,5,5,85,1130,,21950,24579.52643,-2629.526433,2370.473567,,
22500,6,3000,110,1600,5,5,85,1130,,22500,24864.80215,-2364.802151,2635.197849,,
18500,7,2000,110,1600,5,5,19,1075,,18500,23597.50833,-5097.508332,-97.508332,,
18700,7,450,97,1400,5,5,85,1110,,18700,24054.74242,-5354.742422,-354.742422,,
21125,2,225,97,1400,5,5,85,1110,,21125,24667.95277,-3542.952767,1457.047233,,
21500,2,15,110,1600,5,5,85,1130,,21500,25414.10152,-3914.101517,1085.898483,,
17795,1,1,98,1400,4,5,19,1100,,17795,24411.76762,-6616.767618,-1616.767618,,
18245,1,1,110,1600,5,5,19,1075,,18245,24369.56255,-6124.562548,-1124.562548,,
6950,43,243000,69,1900,3,5,185,1110,,6950,14091.59618,-7141.596178,-2141.596178,,
9500,38,180638,90,2000,4,5,210,1160,,9500,17593.37959,-8093.379594,-3093.379594,,
11950,40,179860,90,2000,5,5,210,1205,,11950,18118.89959,-6168.89959,-1168.89959,,
7750,43,178858,110,1600,3,5,197,1084,,7750,16328.99662,-8578.996624,-3578.996624,,
11950,40,161000,69,1900,3,5,185,1105,,11950,16089.98621,-4139.986205,860.013795,,
4350,44,158320,69,1800,5,5,64,1110,,4350,15290.73282,-10940.73282,-5940.732824,,
4750,44,131273,69,1800,5,5,64,1110,,4750,15857.04291,-11107.04291,-6107.04291,,
11750,40,130062,69,1900,5,5,185,1140,,11750,17323.1449,-5573.144899,-573.144899,,
13250,41,123425,69,1900,5,5,185,1140,,13250,17340.41055,-4090.410546,909.589454,,
11950,37,118217,110,1600,5,5,85,1075,,11950,17759.81193,-5809.811926,-809.811926,,
11900,44,110000,69,1900,5,5,185,1095,,11900,16503.77367,-4603.773669,396.226331,,
14750,39,108847,90,2000,5,5,210,1205,,14750,19727.46964,-4977.469643,22.530357,,
9950,42,105699,97,1400,3,5,69,1025,,9950,16110.11529,-6160.115285,-1160.115285,,
11950,39,98823,110,1600,5,5,197,1119,,11950,19076.94774,-7126.94774,-2126.94774,,
11495,44,96829,110,1600,5,5,85,1075,,11495,17355.73486,-5860.734857,-860.734857,,
11250,40,96518,97,1400,3,5,69,1025,,11250,16545.74678,-5295.746781,-295.746781,,
10500,42,92204,110,1600,5,5,85,1075,,10500,17695.97283,-7195.972825,-2195.972825,,
10450,35,91456,69,1900,3,5,185,1110,,10450,18238.22332,-7788.223322,-2788.223322,,
12950,43,89968,69,1900,5,5,185,1140,,12950,17797.53349,-4847.533494,152.466506,,
11500,44,89757,110,1600,3,5,69,1045,,11500,16942.26093,-5442.260933,-442.260933,,
12500,40,85389,110,1600,5,5,85,1075,,12500,18082.06501,-5582.065013,-582.065013,,
10950,43,85017,97,1400,5,5,85,1060,,10950,17066.62815,-6116.628152,-1116.628152,,
11450,41,84312,110,1600,5,5,85,1080,,11450,18066.54093,-6616.54093,-1616.54093,,
11950,37,82743,110,1600,5,5,197,1121,,11950,19690.48072,-7740.480718,-2740.480718,,
13250,41,81106,69,1900,5,5,185,1140,,13250,18226.48577,-4976.485768,23.514232,,
14750,40,80425,90,2000,5,5,210,1205,,14750,20200.86962,-5450.86962,-450.86962,,
11790,34,78677,110,1600,5,5,85,1105,,11790,19454.55332,-7664.553323,-2664.553323,,
11450,40,78425,110,1600,5,5,85,1075,,11450,18227.87725,-6777.877245,-1777.877245,,
13500,33,78108,90,2000,3,5,210,1170,,13500,20515.90313,-7015.903129,-2015.903129,,
10950,33,77321,110,1600,5,5,85,1075,,10950,19102.89181,-8152.89181,-3152.89181,,
13500,33,75699,69,1900,3,5,185,1105,,13500,18727.91756,-5227.917556,-227.917556,,
10950,41,75697,97,1400,3,5,69,1025,,10950,16859.99702,-5909.99702,-909.99702,,
10950,44,74846,97,1400,3,5,69,1025,,10950,16512.71568,-5562.715681,-562.715681,,
12950,38,74319,110,1600,5,5,85,1075,,12950,18557.24839,-5607.248391,-607.248391,,
11950,43,74285,110,1600,5,5,85,1075,,11950,17949.46099,-5999.460988,-999.460988,,
12450,44,74172,110,1600,5,5,163,1615,,12450,27153.18305,-14703.18305,-9703.183053,,
11950,40,73042,110,1598,5,5,85,1075,,11950,18340.5865,-6390.586499,-1390.586499,,
14950,44,71793,110,1600,4,5,197,1067,,14950,18164.69687,-3214.696865,1785.303135,,
12450,35,71200,110,1600,5,5,85,1075,,12450,18987.65359,-6537.65359,-1537.65359,,
12950,38,67805,110,1600,5,5,85,1075,,12950,18693.63852,-5743.638523,-743.638523,,
11950,35,65988,110,1600,3,5,69,1040,,11950,18451.60944,-6501.609436,-1501.609436,,
11690,34,65345,97,1400,5,5,85,1060,,11690,18573.81922,-6883.819219,-1883.819219,,
12450,42,64564,110,1600,5,5,85,1080,,12450,18358.3247,-5908.324695,-908.324695,,
12750,36,63459,97,1400,5,5,85,1060,,12750,18369.90857,-5619.908569,-619.908569,,
11925,44,63451,97,1400,3,5,69,1025,,11925,16751.30419,-4826.304191,173.695809,,
12950,33,62000,110,1600,5,5,19,1075,,12950,19177.032,-6227.031998,-1227.031998,,
11950,42,61300,97,1400,3,5,69,1030,,11950,17123.3671,-5173.367097,-173.367097,,
12900,41,61200,110,1600,3,5,69,1045,,12900,17905.28698,-5005.286976,-5.286976,,
11900,41,61000,110,1600,5,5,85,1075,,11900,18471.02204,-6571.022036,-1571.022036,,
11650,38,60829,110,1600,5,5,85,1075,,11650,18839.70201,-7189.702011,-2189.702011,,
10950,44,60500,110,1600,5,5,85,1075,,10950,18116.39146,-7166.391459,-2166.391459,,
13950,35,59500,69,1900,3,5,64,1110,,13950,18455.12472,-4505.124715,494.875285,,
13950,44,59000,110,1600,5,5,85,1110,,13950,18733.17731,-4783.177309,216.822691,,
11950,40,58954,110,1600,5,5,85,1080,,11950,18719.18659,-6769.186593,-1769.186593,,
10950,38,58798,110,1600,5,5,85,1075,,10950,18882.22709,-7932.227089,-2932.227089,,
12450,38,58363,110,1600,3,5,85,1055,,12450,18556.83292,-6106.832919,-1106.832919,,
11950,43,58277,110,1600,3,5,69,1045,,11950,17723.08903,-5773.089032,-773.089032,,
13500,33,57711,90,2000,3,5,210,1165,,13500,20859.34997,-7359.349965,-2359.349965,,
11690,33,57269,110,1600,5,5,85,1075,,11690,19522.74059,-7832.740586,-2832.740586,,
13500,39,56001,110,1600,5,5,85,1075,,13500,18819.09082,-5319.090816,-319.090816,,
11950,42,55968,110,1600,3,5,69,1050,,11950,17976.76028,-6026.760283,-1026.760283,,
12900,39,55678,110,1600,4,5,69,1030,,12900,18013.42968,-5113.42968,-113.42968,,
13500,43,55539,110,1600,5,5,85,1085,,13500,18509.21584,-5009.215836,-9.215836,,
11750,42,55400,110,1600,5,5,85,1075,,11750,18466.57498,-6716.574977,-1716.574977,,
11750,33,55350,110,1600,5,5,85,1075,,11750,19562.92061,-7812.920608,-2812.920608,,
10850,43,54600,110,1600,4,5,69,1030,,10850,17549.20141,-6699.201408,-1699.201408,,
11750,43,53773,110,1600,5,5,85,1075,,11750,18378.94124,-6628.941244,-1628.941244,,
14950,42,53719,110,1600,5,5,85,1105,,14950,19003.52506,-4053.525055,946.474945,,
9940,39,53644,110,1600,5,5,19,1075,,9940,18621.79077,-8681.790772,-3681.790772,,
12900,42,53350,110,1600,5,5,85,1075,,12900,18509.49788,-5609.497877,-609.497877,,
13500,38,53000,110,1600,5,5,85,1075,,13500,19003.62561,-5503.625613,-503.625613,,
11750,44,52084,97,1400,3,5,69,1025,,11750,16989.30644,-5239.306437,-239.306437,,
11950,44,52000,97,1400,3,5,69,1025,,11950,16991.06523,-5041.065229,-41.065229,,
13450,33,51945,110,1600,5,5,85,1075,,13450,19634.2145,-6184.214498,-1184.214498,,
11950,41,51732,97,1400,3,5,69,1025,,11950,17361.77619,-5411.77619,-411.77619,,
12495,39,50873,110,1600,5,5,85,1075,,12495,18926.46088,-6431.46088,-1431.46088,,
13500,41,50856,110,1600,4,5,69,1030,,13500,17870.993,-4370.992998,629.007002,,
12750,40,50640,110,1600,5,5,85,1075,,12750,18809.63958,-6059.639575,-1059.639575,,
12000,39,50000,97,1400,5,5,85,1060,,12000,18286.61353,-6286.613534,-1286.613534,,
11950,38,49500,110,1600,5,5,85,1075,,11950,19076.90861,-7126.908613,-2126.908613,,
12495,44,49332,110,1600,5,5,85,1080,,12495,18433.85259,-5938.852593,-938.852593,,
12450,34,49291,110,1600,3,5,69,1040,,12450,18922.91108,-6472.911081,-1472.911081,,
14750,40,48952,90,2000,5,5,210,1205,,14750,20859.85129,-6109.851294,-1109.851294,,
10950,39,48945,110,1600,3,5,69,1040,,10950,18321.65633,-7371.656334,-2371.656334,,
13500,33,48928,69,1900,3,5,185,1105,,13500,19288.44875,-5788.448754,-788.448754,,
12950,38,48197,110,1600,5,5,85,1075,,12950,19104.19083,-6154.190827,-1154.190827,,
13500,35,48052,69,1900,3,5,185,1105,,13500,19063.39072,-5563.390724,-563.390724,,
13450,34,48011,110,1600,4,5,69,1030,,13450,18782.46062,-5332.460621,-332.460621,,
13500,43,48000,110,1600,5,5,85,1075,,13500,18499.81632,-4999.816318,0.183682,,
11480,41,47350,110,1600,5,5,85,1075,,11480,18756.82574,-7276.825736,-2276.825736,,
13450,39,46821,97,1400,5,5,85,1060,,13450,18353.17544,-4903.175436,96.824564,,
11495,39,46694,110,1600,3,5,69,1040,,11495,18368.78777,-6873.787772,-1873.787772,,
12750,43,46515,97,1400,5,5,69,1025,,12750,17227.61002,-4477.610018,522.389982,,
14990,38,46327,110,1600,3,5,85,1055,,14990,18808.84269,-3818.842687,1181.157313,,
12950,35,46304,97,1400,5,5,85,1060,,12950,18850.79982,-5900.799818,-900.799818,,
12950,40,45886,110,1600,5,5,85,1080,,12950,18992.80438,-6042.804377,-1042.804377,,
12850,39,45713,97,1400,5,5,19,1085,,12850,18547.85158,-5697.85158,-697.85158,,
13950,40,45600,110,1600,5,5,85,1105,,13950,19416.9204,-5466.920395,-466.920395,,
11950,41,45287,110,1600,5,5,85,1075,,11950,18800.02083,-6850.02083,-1850.02083,,
12950,39,45081,110,1600,5,5,85,1075,,12950,19047.73378,-6097.733776,-1097.733776,,
11700,40,44830,110,1600,5,5,85,1075,,11700,18931.28936,-7231.289355,-2231.289355,,
9950,37,44757,97,1400,3,5,69,1025,,9950,17994.61818,-8044.618176,-3044.618176,,
11895,44,44218,97,1400,5,5,85,1060,,11895,17799.17776,-5904.177755,-904.177755,,
12950,43,43632,110,1600,5,5,85,1075,,12950,18591.2735,-5641.273502,-641.273502,,
12500,36,43427,110,1600,3,5,69,1040,,12500,18802.2918,-6302.291795,-1302.291795,,
13875,39,43254,110,1600,5,5,85,1075,,13875,19085.9875,-5210.987502,-210.987502,,
10500,35,43000,110,1600,3,5,69,1050,,10500,19100.18328,-8600.18328,-3600.18328,,
12295,33,42823,110,1600,5,5,85,1075,,12295,19825.21093,-7530.210934,-2530.210934,,
